Unnamed: 0,YEAR,Sports,state_cd,SUM_PARTIC_MEN,SUM_PARTIC_WOMEN,TOTAL_OPEXP_INCLCOED,SUM_TOTAL_HDCOACH,TOTAL_REVENUE_ALL,TOTAL_EXPENSE_ALL,TOTAL_PARTIC
261,2006,Football,LA,1277,0,10216175,12,75877624,43924329,1277
262,2006,Football,MA,2594,0,7332840,30,35695874,36364295,2594
263,2006,Football,MD,850,0,2518616,8,17006695,16349065,850
264,2006,Football,ME,473,0,819514,6,4380972,4099446,473
265,2006,Football,MI,2111,0,14194517,19,112877775,61561267,2111
266,2006,Football,MN,2648,0,4049918,34,26448662,18543366,2648
267,2006,Football,MO,1970,0,4455173,20,31247201,26889569,1970
268,2006,Football,MS,1711,0,5242696,23,47367354,29875479,1711
269,2006,Football,MT,749,0,2526769,7,13733123,12116403,749
270,2006,Football,NC,2624,0,10602663,28,87709266,75327130,2624
271,2006,Football,ND,860,0,2059321,10,5927617,6849940,860
272,2006,Football,NE,1249,0,3268790,12,33581803,20664422,1249
273,2006,Football,NH,353,0,913742,4,4375874,5328610,353
274,2006,Football,NJ,893,0,6264314,10,21402401,20921034,893
275,2006,Football,NM,632,0,4116210,6,6188346,12583940,632
276,2006,Football,NV,228,0,2807040,2,7214592,11101005,228
277,2006,Football,NY,3393,0,8769649,35,47843277,49880624,3393
278,2006,Football,OH,4299,0,14791778,39,102971543,84508758,4299
279,2006,Football,OK,1432,0,9626991,14,69202029,44152538,1432
280,2006,Football,OR,833,0,7885615,9,53695614,29721428,833
281,2006,Football,PA,5046,0,11887231,53,105625964,74123527,5046
282,2006,Football,RI,352,0,908900,4,6630056,5706284,352
283,2006,Football,SC,1253,0,6760875,12,95201018,48017800,1253
284,2006,Football,SD,750,0,1331041,9,4878722,6323208,750
285,2006,Football,TN,1944,0,9072791,18,76344937,57144975,1944
286,2006,Football,TX,4329,0,24920714,40,197370636,133500600,4329
287,2006,Football,UT,744,0,6618189,7,25705573,23032864,744
288,2006,Football,VA,2141,0,8738424,22,81237924,71514851,2141
289,2006,Football,VT,176,0,155913,2,516112,724558,176
290,2006,Football,WA,726,0,6883135,8,49088073,27190746,726
291,2006,Football,WI,1716,0,5709326,19,38436026,24066385,1716
292,2006,Football,WV,1166,0,6365048,12,37061472,25589313,1166
293,2006,Football,WY,107,0,711586,1,6598307,4430217,107
294,2006,Golf,AL,204,90,1562145,32,3944882,5768581,294
295,2006,Golf,AR,138,76,648567,29,1579940,2835445,214
296,2006,Golf,AZ,119,74,697326,23,1412932,2649193,193
297,2006,Golf,CA,848,371,4409238,145,12959927,17756567,1219
298,2006,Golf,CO,124,76,761761,23,2171737,3072200,200
299,2006,Golf,CT,119,41,489430,17,1858115,2138262,160
300,2006,Golf,DC,21,7,143450,3,461756,624429,28
301,2006,Golf,DE,43,3,113853,6,279629,300890,46
302,2006,Golf,FL,392,224,2160717,58,7181550,9776913,616
303,2006,Golf,GA,314,106,1508623,49,4636421,6052143,420
304,2006,Golf,HI,42,16,506035,7,535034,891741,58
305,2006,Golf,IA,444,267,1087492,75,3179362,3769328,711
306,2006,Golf,ID,49,38,340753,11,901034,1124810,87
